date_key,full_date_uk,full_date_usa,day_of_month,day_suffix,day_nm,day_of_week_usa,day_of_week_uk,day_of_week_in_month,day_of_week_in_year,day_of_quarter,day_of_year,week_of_month,week_of_quarter,week_of_year,date,month_nm,month_of_quarter,quarter_nm,year_nm,month_year,first_day_of_month,last_day_of_month,first_day_of_quarter,last_day_of_quarter,first_day_of_year,last_day_of_year,is_holiday_usa,is_weekday,holiday_usa,is_holiday_uk,holiday_uk,data_src_key,created_date,created_by,month,quarter,year,mmyyyy,business_year,business_quarter,business_month,business_month_label,business_week,business_week_label,same_day_ly,first_day_ly
6860,beautiful,person,answer,child,real,level,something,ahead,experience,moment,husband,agent,Democrat,lay,2014-01-09 07:32:26.241045,last,sister,view,huge,room,,,,,,,False,False,world,False,able,672,1999-02-24 13:36:43.047703,already,own,us,win,stand,1942,range,2000-08-19 00:30:00.257029,democratic,2000-11-12 04:58:49.903317,interest,2021-03-20 17:04:37.568166,2001-04-28 00:09:29.935016
6144,data,free,some,customer,bag,pressure,require,this,performance,concern,recognize,game,mission,scene,1994-11-09 08:39:57.058556,report,official,social,agency,heavy,,,,,,,False,False,traditional,True,green,9603,2006-03-31 03:59:04.780759,mission,modern,cup,field,but,6781,despite,1998-09-13 22:20:36.408676,world,2012-10-06 09:13:57.551401,character,1982-04-05 23:04:15.638041,1980-05-15 11:26:26.300686
9575,character,risk,hundred,describe,tend,financial,interview,of,sister,ok,I,fire,stock,late,2011-11-14 16:04:01.276317,rather,either,participant,speak,source,,,,,,,True,False,specific,True,who,2400,2020-04-18 12:52:50.637668,skill,upon,rest,worker,later,4398,tonight,1981-04-21 15:58:28.179749,yeah,2012-12-08 03:01:26.441640,attention,1986-10-13 17:21:42.508934,1990-06-13 14:41:58.441148
1810,statement,letter,whatever,art,wide,bar,interview,yourself,room,able,already,purpose,decision,table,1984-01-17 22:54:59.555751,action,idea,democratic,one,item,,,,,,,False,True,eight,False,move,6383,1975-07-13 19:47:37.279888,after,pattern,individual,wear,official,671,also,1996-04-07 03:02:42.831281,show,2009-11-16 11:58:31.547551,big,2024-08-23 15:16:14.355827,2009-04-10 10:34:55.805428
4878,theory,prevent,instead,activity,discussion,here,rise,month,peace,indicate,mouth,father,all,oil,2021-11-10 12:28:48.628790,large,let,increase,treatment,form,,,,,,,True,False,impact,False,trouble,2158,2003-07-09 06:58:53.346939,at,happen,personal,concern,today,229,science,2016-08-01 01:46:30.028506,care,1993-11-29 23:16:30.487228,writer,2017-07-09 10:54:58.798163,2017-10-25 18:04:18.675087
4376,cut,wonder,government,school,set,will,provide,feeling,water,reality,window,lay,affect,child,1979-07-18 18:52:55.413936,bit,management,well,risk,cell,,,,,,,False,True,get,False,Congress,413,1979-06-11 02:01:46.926059,area,any,well,vote,successful,7408,family,2021-04-23 00:08:11.351392,need,1981-01-14 21:25:55.353078,animal,1988-11-04 17:55:57.995347,1996-11-11 19:56:25.161545
1431,cut,large,best,watch,happen,its,where,may,quality,wrong,reduce,home,care,painting,2022-01-05 02:01:48.175226,fall,several,every,prove,voice,,,,,,,False,False,individual,False,accept,4961,1974-05-11 06:39:12.670135,line,approach,should,nice,dream,5860,area,2004-07-09 05:44:21.661957,result,1993-12-14 07:34:08.634635,interview,1989-04-26 15:20:08.032613,2024-12-10 10:25:08.802306
7360,hand,history,family,sure,economy,skill,single,window,huge,perform,pressure,art,drug,provide,2011-01-17 11:43:33.425747,laugh,he,real,just,notice,,,,,,,False,False,arm,True,fly,1685,1979-03-27 23:16:50.640371,from,commercial,even,position,body,3211,agency,2023-12-09 14:36:57.158117,all,2011-07-19 07:28:44.900789,without,1984-07-21 07:35:21.907934,2020-06-13 00:48:46.926873
3730,now,together,find,than,yourself,raise,campaign,art,some,east,no,particularly,run,business,1999-07-04 07:51:26.902408,PM,model,travel,chair,drop,,,,,,,True,True,prepare,True,get,6764,1981-01-10 07:11:21.338568,suddenly,eight,including,candidate,heart,8704,door,1978-02-05 06:28:18.003177,blue,1975-10-04 13:05:14.622925,fast,1991-07-27 12:24:43.772377,2019-10-22 04:18:48.939826
2272,life,hotel,remember,daughter,none,address,daughter,suffer,generation,fly,late,under,probably,behavior,1995-06-25 00:03:32.567776,something,eat,likely,budget,perform,,,,,,,True,False,including,False,which,5573,1992-02-18 22:01:14.482719,car,citizen,story,treat,individual,8321,tree,1973-04-09 12:36:52.113433,road,2017-05-01 07:55:09.922938,nor,1972-09-25 08:37:18.091197,1986-08-08 06:57:28.441767
