store_key,store_number,store_name,store_address_1,store_address_2,store_address_3,store_city,state_name,state_code,store_longitude,store_latitude,store_zip,store_zip4,store_phone,store_phone_formatted,store_phone_alt,store_phone_alt_formatted,RSM_Phone_Number,store_status,time_zone,created_date,updated_date,created_by,updated_by,is_referred
8556000000,9979,hand,to,they,sit,authority,nearly,population,-23376.4,26132.5,magazine,plan,eight,early,explain,trouble,reason,language,road,1975-09-18 09:40:09.703027,1970-09-15 21:11:07.213126,cup,per,treatment
8839000000,7844,generation,left,six,discuss,adult,listen,institution,13667.49,-94469.34,staff,figure,partner,benefit,per,event,simple,boy,street,2022-07-26 23:19:54.751431,2015-08-23 02:17:46.293411,check,argue,person
3392000000,994,watch,PM,might,player,significant,whatever,probably,-79922.79,419.42,smile,dark,myself,interest,government,above,situation,fact,loss,1986-10-22 01:27:22.468127,1997-11-24 11:50:56.701376,worry,sit,thus
1270000000,8907,trouble,try,early,theory,lead,wear,lose,-38024.58,-88609.35,painting,camera,federal,hot,stage,me,sense,yet,lot,1989-09-08 14:50:20.139209,1994-03-20 06:30:07.223422,view,we,stage
8599000000,6498,add,and,financial,all,serve,speech,movement,3066.79,48422.11,moment,development,lawyer,show,director,beat,win,explain,assume,2018-04-04 02:51:20.615685,1978-12-22 18:48:56.679507,performance,quality,until
1340000000,660,traditional,trip,machine,president,pretty,debate,whole,85674.67,-66312.27,something,develop,it,by,computer,democratic,from,accept,according,2016-04-10 23:18:34.316171,2002-10-12 12:39:28.719066,federal,consider,statement
2453000000,6038,wear,speech,add,mouth,wear,anything,think,79483.5,-26069.87,action,detail,major,glass,notice,sit,course,debate,coach,2023-10-17 22:43:43.010728,1977-03-01 02:55:38.606430,role,information,foreign
6650000000,4015,gas,four,chair,risk,up,parent,visit,-8205.56,-46316.8,red,both,unit,building,particular,third,example,soldier,everyone,1980-07-22 19:39:51.029641,1983-12-13 16:18:45.047749,tough,save,despite
7105000000,4858,anyone,head,country,seek,action,third,above,85374.59,66867.92,look,receive,read,become,small,produce,team,bar,perform,1977-03-17 07:14:03.721325,1990-04-29 01:37:53.329862,total,bed,light
9248000000,3412,agency,local,agree,page,machine,easy,occur,25391.68,-47947.97,answer,technology,I,weight,shoulder,chair,team,sea,pay,1987-07-25 17:43:39.749497,2006-04-21 18:01:22.916293,power,owner,smile
